---
# FILENAME: New Recording 14.txt
---
# Transcript for New Recording 14.m4a
# Language: ru, prob=1.00

[   0.00 -    2.32] Сказывал, да, получается, такие вещи.
[   3.56 -    7.72] То есть вроде бы 4 дня мало, 5 дней, окей.
[   7.72 -   10.76] Но все время зарегулированные 5 дней.
[  11.76 -   12.92] Тоже не окей.
[  13.40 -   15.96] То есть надо отдавать какой-то...
[  16.76 -   17.92] Какие-то дырки.
[  18.76 -   20.44] Но как-то так мы с ней решили.
[  21.84 -   23.12] Это первое.
[  23.12 -   23.96] Второе.
[  25.16 -   26.56] Мы поднимаем цены.
[  27.28 -   28.28] И посмотрим.
[  29.24 -   30.96] Что из этого получится.
[  31.72 -   33.84] И мы решили поднять цену.
[  36.00 -   37.80] Включая поездку.
[  37.80 -   39.80] Туда будет входить поездка.
[  39.80 -   40.96] Колбавра Алто.
[  42.12 -   43.64] 1550.
[  48.00 -   48.84] Посмотрим.
[  48.84 -   51.64] Потому что сейчас, все, кто едет,
[  51.64 -   56.08] они уже, либо люди, как мы с тобой говорили, состоятельные.
[  56.08 -   57.84] Либо что-то еще, но еще посмотрим.
[  58.84 -   60.04] Нет так нет.
[  62.60 -   63.72] Третий момент.
[  63.72 -   68.72] У нас примерно сложилось, очень кратко, конечно, бесподробностей.
[  71.64 -   73.96] Как мы будем ходить.
[  77.64 -   80.00] Тема остается, как я тебе говорила, да?
[  80.84 -   81.84] Ардыко.
[  81.84 -   96.87] Конечно, написала мне.
[  96.87 -   98.87] Первый день 15 октября.
[  98.87 -   99.87] Правой берег.
[ 101.70 -  103.22] Дынье Легор.
[1978.46 - 1980.46] Ну, сафада, да.
[1980.46 - 1981.46] Да.
[1981.46 - 1983.46] Обычно вот такая прямая.
[1985.46 - 1988.46] Потом мы будем тоже о угодно видеть.
[1988.46 - 1990.46] И ты ледейся тоже будет.
[1990.46 - 1993.46] А на ее раз вот этот вот просто она как бы то линия,
[1993.46 - 1994.46] милисуют свою мебе.
[1994.46 - 1996.46] На раз ее немного загибают.
[1996.46 - 1998.46] Вот таким вот образом.
[1998.46 - 2000.46] А так это и не так.
[2000.46 - 2001.46] Это и не вот так.
[2001.46 - 2003.46] Это совсем чуть-чуть.
[2003.46 - 2004.46] Ну, да.
[2004.46 - 2006.46] Но в этот момент, ты понимаешь.
[2006.46 - 2007.46] Да, это была вот такой, это полчасная.
[2007.46 - 2008.46] Что это?
[2008.46 - 2009.46] Это очень много.
[2009.46 - 2010.46] Смотри.
[2010.46 - 2011.46] На привык деланных.
[2011.46 - 2012.46] Мы вот так сидим с тобой.
[2012.46 - 2014.46] Нам надо вот так с тобой разговаривать.
[2014.46 - 2017.46] А когда вот так начинает вот так.
[2017.46 - 2019.46] Вот мы сидим притоять на таком делании.
[2019.46 - 2020.46] В основном есть.
[2020.46 - 2021.46] В основном есть.
[2021.46 - 2022.46] Жить чуть.
[2022.46 - 2023.46] Я понимаю, но мы тоже тоже.
[2023.46 - 2024.46] Да.
[2024.46 - 2026.46] У нас такое вообще нет.
[2026.46 - 2029.46] Намного легче.
[2029.46 - 2030.46] Да.
[2030.46 - 2031.46] Да.
[2031.46 - 2032.46] Что мы не вот так?
[2032.46 - 2034.46] Да, мы вот так.
[2034.46 - 2035.46] А мы вот так.
[2035.46 - 2037.46] На высоте полуметься, там люди подругом до сих пор.
[2037.46 - 2039.46] Да, да, да.
[2039.46 - 2040.46] Вот такие вот.
[2040.46 - 2041.46] Вот действительно.
[2041.46 - 2044.46] И в ее знаменитый столик.
[2044.46 - 2046.46] Я здесь и 27.
[2046.46 - 2048.46] Это так вела была названа.
[2048.46 - 2051.46] На, а темно, вы бы показать это все.
[2051.46 - 2053.46] На хромированной ноги.
[2053.46 - 2057.46] Трабча очень была новая работа с металлом.
[2057.46 - 2060.46] Но, помнишь, что как раз проемуду с трею.
[2060.46 - 2062.46] Все такой, на хромированной ноги.
[2062.46 - 2067.46] С одни тоже таким каким-то незаконченным кругом внизу.
[2067.46 - 2068.46] Сейчас объясню почему.
[2068.46 - 2074.46] И стекло и сбортиком из округого метала.
[2074.46 - 2077.46] Ну прямо вот как лубат.
[2077.46 - 2078.46] Как обат.
[2078.46 - 2081.46] А и ручка.
[2081.46 - 2083.46] Это вастройка.
[2083.46 - 2085.46] Сейчас интерпретации очень много.
[2085.46 - 2087.46] Но это было конечно же, а сегенно.
[2087.46 - 2089.46] То есть ты берешь вот так завычка.
[2089.46 - 2090.46] Товарищing легко перенос.
[2090.46 - 2092.46] Ты что ли куда тебе нужно?
[2092.46 - 2094.46] И он приставной.
[2094.46 - 2096.46] Вот у тебя есть кровать.
[2096.46 - 2097.46] Ты вот так раз.
[2097.46 - 2098.46] В этом полок руку.
[2098.46 - 2099.46] Срезать.
[2099.46 - 2100.46] Да, возможно.
[2100.46 - 2101.46] Да, возможно.
[2101.46 - 2103.46] Вот и раз чуть-чуть под ноги.
[2103.46 - 2105.46] Кровать и у тебя территория.
[2105.46 - 2106.46] Вот это вас здесь.
[2106.46 - 2107.46] Вот здесь.
[2107.46 - 2108.46] Вот здесь вот.
[2108.46 - 2109.46] Вот здесь вот.
[2109.46 - 2111.46] А сейчас вот так вот в чём.
[2111.46 - 2112.46] Нам облюдала.
[2112.46 - 2113.46] На все время наблюдало.
[2113.46 - 2114.46] За...
[2114.46 - 2115.46] За...
[2115.46 - 2116.46] В тобрьщее.
[2116.46 - 2117.46] И...
[2117.46 - 2118.46] Ты сможешь, наверное, перебил, поделал.
[2118.46 - 2121.46] Я когда, в 54, но систам, так как океоне.
[2121.46 - 2123.46] Мне нравится там сидеть за диван.
[2123.46 - 2125.46] Передом вот есть передомное тут стол.
[2125.46 - 2127.46] Я люблю вообще вот тогда.
[2127.46 - 2129.46] В общем, удобно сесть.
[2129.46 - 2130.46] И не удобно.
[2130.46 - 2131.46] Это стол вот.
[2131.46 - 2132.46] Да.
[2132.46 - 2133.46] А он не делал.
[2133.46 - 2134.46] И что я делаю?
[2134.46 - 2135.46] Я прям отыковен.
[2135.46 - 2136.46] Я тут стол.
[2136.46 - 2138.46] Прямо максимально сколько мне лунушку.
[2138.46 - 2139.46] И так же дома все делают.
[2139.46 - 2142.46] Вот как мне ножка позвалетов пододвинул.
[2142.46 - 2143.46] Пойдем.
[2143.46 - 2144.46] Ну, что я тебе?
[2144.46 - 2145.46] Ну, не пойдем.
[2145.46 - 2146.46] Пойдем.
[2146.46 - 2170.86] И вот это...
[2170.86 - 2172.86] Это легантность.
[2172.86 - 2175.86] Очень только обращение.
[2175.86 - 2177.86] С вотириалами.
[2177.86 - 2179.86] Она пережает...
[2179.86 - 2184.99] Я пережает...
[2184.99 - 2186.99] Пориша.
[2186.99 - 2190.99] И бесконечно учится у мастеров.
[2190.99 - 2192.99] И ее пришится у интересов.
[2192.99 - 2194.99] Мастерство.
[2194.99 - 2196.99] Ну, то есть она начинается на вторстке.
[2196.99 - 2197.99] Да.
[2197.99 - 2198.99] Смысл.
[2198.99 - 2199.99] Да.
[2199.99 - 2201.99] Что ты, то, что ты...
[2201.99 - 2203.99] Ты, мая, я тебя...
[2203.99 - 2204.99] Не терярай.
[2204.99 - 2207.99] Не только я, то, я тут один из многих.
[2207.99 - 2208.99] Да.
[2208.99 - 2209.99] Они работают на...
[2209.99 - 2221.34] Здесь это...
[2221.34 - 2222.34] Это фотографии.
[2222.34 - 2223.34] И вы чего вела.
[2223.34 - 2225.34] Это сейчас будет на долго.
[2225.34 - 2229.13] Я под другом идти покажу.
[2229.13 - 2232.13] Я могу рассказывать, чтобы там о ее предупредствовать.
[2232.13 - 2233.13] Нет, мне интересно.
[2233.13 - 2234.13] Вот хорошо.
[2234.13 - 2235.13] Вот если не встретилось.
[2235.13 - 2236.13] В день таком.
[2236.13 - 2237.13] Ты...
[2237.13 - 2238.13] Ты...
[2238.13 - 2241.13] Ты была, как это работа с этим связанным.
[2241.13 - 2243.13] Ты была, как это...
[2243.13 - 2245.13] Литворчество с этим связанным.
[2245.13 - 2246.13] Ты была, как это...
[2246.13 - 2247.13] Вот это...
[2247.13 - 2248.13] Вот это...
[2248.13 - 2250.13] И всегда есть в вдохновении.
[2250.13 - 2252.13] Примет и не всегда могу купить.
[2252.13 - 2253.13] А...
[2253.13 - 2255.13] В вдохновении...
[2255.13 - 2258.13] Не, в тебя был какой-то конкретный вот проект, скажет.
[2258.13 - 2259.13] Да.
[2259.13 - 2261.13] Сэрин Грей, в котором...
[2261.13 - 2263.13] Теакарца, что...
[2263.13 - 2264.13] Это до конца.
[2264.13 - 2265.13] Я посиден, повлиял.
[2265.13 - 2267.13] Я был удачным, как, критным.
[2267.13 - 2269.13] Для женик, конкретно задачи.
[2269.13 - 2271.13] Вот этот историк.
[2271.13 - 2272.13] Да.
[2272.13 - 2274.13] Ну, где...
[2274.13 - 2275.13] Да, я понял, как картинка.
[2275.13 - 2276.13] Я понял, про него.
[2277.13 - 2278.13] Вот он, я ездил.
[2278.13 - 2280.13] Вот это из жимитерные истории.
[2280.13 - 2282.13] Посмотри, совершенно чему, лая.
[2282.13 - 2283.13] Это ширма.
[2283.13 - 2286.13] Казал, я бы просто предмет и вполне себе классический.
[2286.13 - 2288.13] И на наерландко ширм, понятно.
[2288.13 - 2289.13] Завается брик.
[2289.13 - 2290.13] Перепечки.
[2290.13 - 2291.13] Вот это все...
[2291.13 - 2292.13] Вот это все двигается.
[2292.13 - 2294.13] То есть ты можешь вы так закрывать.
[2294.13 - 2296.13] Изумительно вакачество.
[2296.13 - 2297.13] Это дерево.
[2297.13 - 2298.13] Нет, важди.
[2298.13 - 2299.13] Я нужно про тебя.
[2299.13 - 2301.13] Вот у тебя было что-то.
[2301.13 - 2303.13] Ты, вот, например, у тебя было конкретно задача.
[2303.13 - 2305.13] Это, понимаешь, ты нужно и решать.
[2305.13 - 2309.13] Вот во французском модернизком подходе.
[2309.13 - 2311.13] Нет, пожалуйста, нет.
[2311.13 - 2313.13] Такое чистое не было.
[2313.13 - 2315.13] Чистая не было.
[2315.13 - 2316.13] Всегда, что-то...
[2316.13 - 2318.13] Торчит.
[2318.13 - 2319.13] Да.
[2319.13 - 2321.13] Если говорить о современном интерьере.
[2321.13 - 2325.13] Но чистое задача прямо тордой костов, какой-то такой заявот.
[2325.13 - 2327.13] Правит, у Сафу говорили.
[2327.13 - 2328.13] Угу.
[2328.13 - 2331.47] Здесь все безупречено.
[2331.47 - 2332.47] Просто все.
[2332.47 - 2333.47] Лично.
[2333.47 - 2334.47] Что стоит?
[2334.47 - 2335.47] Что стоит?
[2335.47 - 2336.47] Это сзади.
[2336.47 - 2337.47] Что стоит?
[2337.47 - 2338.47] Это сзади.
[2338.47 - 2340.47] Декоратеру и дизайнеру.
[2340.47 - 2343.47] И может быть даже архитектору.
[2343.47 - 2346.47] Если бы вардокоб был один главный рок,
[2346.47 - 2348.47] чем он мог бы научить.
[2348.47 - 2349.47] Это что?
[2349.47 - 2350.47] На что обращать внимание?
[2350.47 - 2352.47] На что не обращать внимание?
[2352.47 - 2353.47] До них.
[2353.47 - 2354.47] На что они не стали обращать внимание?
[2354.47 - 2355.47] Стоит очень сзади.
[2355.47 - 2367.32] Ну, наверное, соединение геометрию функции
[2367.32 - 2370.32] совершенно роскошными материалами.
[2371.32 - 2373.32] Вот внутри конструктивиста.
[2373.32 - 2374.32] Да, мы к нему.
[2374.32 - 2375.32] Это все время считают.
[2375.32 - 2378.32] О, очень хорошая пример.
[2378.32 - 2380.32] Если говорить,
[2380.32 - 2382.32] вот это часть на твоего вопрос,
[2382.32 - 2384.32] это эти правильную стрирую сейчас.
[2386.32 - 2387.32] По-моему, сразу.
[2387.32 - 2389.32] Он тебя в битве.
[2389.32 - 2401.04] Да, тоже тоже уже есть.
[2401.04 - 2406.94] Вот.
[2406.94 - 2408.94] Мест ван дероя повлило на Борсулы.
[2408.94 - 2409.94] Да, вот смотри.
[2409.94 - 2411.94] Вот это мрамор, что ли?
[2411.94 - 2413.94] Это, вот эта стеть.
[2413.94 - 2415.94] Ко-апсолёт на геометрических чистых форм.
[2415.94 - 2416.94] Туна.
[2416.94 - 2417.94] Мест ван дероя повлило.
[2417.94 - 2418.94] Это последним директор.
[2418.94 - 2419.94] Это ван дероя.
[2419.94 - 2420.94] Это ван дероя на грудную бабку.
[2420.94 - 2422.94] Ба, оба, оба, хауса.
[2422.94 - 2423.94] А ну, для кружки.
[2423.94 - 2424.94] Да, оба, хауса.
[2424.94 - 2425.94] То есть вот эти принц?
[2425.94 - 2426.94] Я понял.
[2426.94 - 2428.94] Ты расскажешь, что я как бы зее.
[2428.94 - 2431.94] И, мисс ван дероя берет.
[2431.94 - 2434.94] Я на этой формы создаю.
[2434.94 - 2436.94] И, роскошных материалов.
[2436.94 - 2437.94] Вот.
[2437.94 - 2438.94] Вот.
[2439.94 - 2441.94] 29 год.
[2441.94 - 2443.94] Ты что, девочек, ты стейст?
[2443.94 - 2447.94] Вот это вот, зазнами, не это я кресло Борсила.
[2447.94 - 2449.94] Сумасшедшая.
[2449.94 - 2450.94] Сыршен.
[2450.94 - 2451.94] Вот они.
[2451.94 - 2457.94] О, в созданной, были для исключительных для королей.
[2457.94 - 2461.94] Испанских, которые должны были зайти в Павюрион.
[2461.94 - 2464.94] Германию он делал Павюрион Германии на Лустовке.
[2464.94 - 2466.94] Но они так и не сели.
[2466.94 - 2467.94] У меня все.
[2467.94 - 2469.94] Что ты, как бы, скресление в тындненько?
34 - 2464.34] он делал павильон Германии
[2464.34 - 2466.34] на выставке, но они так и не сели
[2466.34 - 2468.34] туда
[2468.34 - 2470.34] у меня все, что у тебя в воскресенье


---
# FILENAME: New Recording 20.txt
---
# Transcript for New Recording 20.m4a
# Language: ru, prob=1.00

[   0.72 -    3.76] А переходим в периоде, Арново и Ардеку.
[   3.76 -    7.28] То есть здесь визуально это и он.
[   8.56 -    9.76] Ты легко.
[  10.32 -   11.92] Мне нравится это слово.
[  11.92 -   12.96] Переход.
[  12.96 -   14.32] Где-нибудь первое переход.
[  14.32 -   15.76] Да, да, да, да, да.
[  15.76 -   33.54] Не дорогость.
[  33.54 -   34.54] Да, я понимаю.
[  35.90 -   45.47] Здесь смысл вот эти двух рядят.
[  46.27 -   50.47] В их индивидуальном почерке.
[  50.47 -   52.47] Где...
[  52.47 -   57.47] Кодом является Арнов, Ардеку.
[  58.47 -   60.47] Индивидальный почерк.
[  60.47 -   64.47] Не просто мы смотрим на линский и не просто мы смотрим.
[  64.47 -   65.47] Прегре.
[  65.47 -   68.47] А мы смотрим, что есть некая судь, Ардеку,
[  68.47 -   70.47] которая развивается.
[  70.47 -   72.47] Вы индивидальным почерке того и другого.
[  72.47 -   74.47] То есть это са-то са-то са-то в лине.
[  74.47 -   78.47] Двух индивидуальдек, почерков, судь, у которых.
[  78.47 -   80.47] Устил это про негричное, что все хорошо.
[  80.47 -   81.47] Чертка.
[  81.47 -  103.46] Убери, а февитивы, русский, не любит это.
[ 103.46 -  109.42] Хорошо.
[ 109.42 -  113.42] Антек с 7,5 выставки с сам.
[ 113.42 -  115.42] Ты что, что это?
[ 115.42 -  117.42] Ты что, что это?
[ 117.42 -  118.42] Ты что, что это?
[ 118.42 -  119.42] Да.
[ 119.42 -  128.58] Да.
[ 128.58 -  130.58] Паралерик с мизонами.
[ 130.58 -  132.58] Нет, мы сейчас не стереотважаем.
[ 132.58 -  133.58] Сейчас только...
[ 133.58 -  135.58] Повак ты очень много уже сказала, поделал.
[ 135.58 -  136.58] Повак.
[ 136.58 -  142.22] А вот это вот не то.
[ 143.22 -  144.22] Это и это.
[ 144.22 -  149.75] То есть выстанавливает вот этот вот это не повтор наш.
[ 149.75 -  152.19] Бункт.
[ 152.19 -  155.19] Вот этот второй и второй здесь.
[ 155.19 -  158.72] Здесь мы.
[ 158.72 -  159.72] Так.
[ 159.72 -  160.72] Мизон.
[ 160.72 -  161.72] Мизон, а Джи.
[ 161.72 -  162.72] Единственные.
[ 162.72 -  163.72] Все.
[ 163.72 -  164.72] Вот он.
[ 164.72 -  165.72] Только не зон.
[ 165.72 -  175.34] А вот это сюда ламперий,
[ 175.34 -  177.34] Сову убирает только сербская.
[ 177.34 -  180.34] И а кости, это не ламперий.
[ 180.34 -  183.34] Вамперий, это только хривишки.
[ 184.34 -  185.34] Ага.
[ 185.34 -  186.34] Ага.
[ 186.34 -  190.26] Ага.
[ 190.26 -  191.26] Ага.
[ 191.26 -  192.26] Ага.
[ 192.26 -  193.26] Ага.
[ 193.26 -  194.26] Ага.
[ 194.26 -  195.26] А кости, когда здесь бы какую.
[ 195.26 -  198.26] Сову сочтание.
[ 198.26 -  201.54] Связанная с тем, что.
[ 201.54 -  202.54] На редулус с этим человеческом модернизмом.
[ 202.54 -  204.54] Алоор, алта создал.
[ 204.54 -  210.54] Знерная, пространство для искусства.
[ 210.54 -  213.54] Соединяя в себе.
[ 213.54 -  214.54] Да?
[ 214.54 -  215.54] И Горири.
[ 218.61 -  220.61] Это желой дом.
[ 220.61 -  222.61] Лучше логай.
[ 223.61 -  224.61] Горири.
[ 224.61 -  226.61] Да.
[ 226.61 -  227.61] При этом.
[ 227.61 -  229.61] Это Джито.
[ 229.61 -  230.61] Легца.
[ 230.61 -  231.61] Легца.
[ 231.61 -  232.61] Да.
[ 232.61 -  234.61] В сцене да.
[ 234.61 -  236.61] В важные дежатства.
[ 236.61 -  237.61] Да.
[ 237.61 -  238.61] Это сцену.
[ 238.61 -  239.61] Исследовцю.
[ 239.61 -  241.61] Его.
[ 241.61 -  242.61] Бытовой дом.
[ 242.61 -  243.61] Человечный.
[ 243.61 -  245.61] Так же становится одновременно.
[ 245.61 -  247.61] И Горири.
[ 247.61 -  250.61] что ориентация начал овечность.
[ 250.61 -  252.61] Да, ага, exactly.
[ 252.61 -  253.61] На этом есть.
[ 253.61 -  255.61] В этом очень большую интерес.
[ 255.61 -  256.61] Да.
[ 256.61 -  258.61] Я передам попробую.
[ 258.61 -  264.61] Придметов Артег надо убрать, потому что я совершенно не уверена,
[ 264.61 -  268.61] что мы видим предметы и виновопоченные Артег.
[ 268.61 -  274.61] Здесь, а здесь, я не знаю, что после этого...
[ 275.61 -  277.61] Я уберу, но мы с тобой заможете посмотреть, что ладно?
[ 277.61 -  278.61] Да.
[ 278.61 -  279.61] Да.
[ 279.61 -  282.02] Но там...
[ 282.02 -  284.02] Я, например, интересно.
[ 284.02 -  285.02] Не столько, Артег.
[ 285.02 -  286.02] Пойдет или нет?
[ 286.02 -  291.67] Ну, надо исследовать.
[ 291.67 -  293.67] И надо туда убиться. Посмотрите.
[ 293.67 -  295.67] Не, если я уберу, но...
[ 295.67 -  297.67] Попробую, как выглядит.
[ 297.67 -  309.01] Да, и вот мне кажется, я хочу вот какую-то вот такую тонн.
[ 309.01 -  310.01] Понимаешь?
[ 310.01 -  311.01] Посмотри.
[ 311.01 -  312.01] Понимаю. Сподпоменько.
[ 312.01 -  313.01] Что я переста?
[ 313.01 -  320.02] Смотри.
[ 320.02 -  324.02] На мой взгляд, не очень, как бы складывается.
[ 324.02 -  325.02] Да.
[ 325.02 -  327.02] Да, да, брожилательная гономика.
[ 327.02 -  329.02] Радиосовый Сот. Это бурет и историки.
[ 329.02 -  330.02] В ту характер.
[ 330.02 -  333.02] А, радиосовый Сот.
[ 333.02 -  335.02] И, это бурет и это разные темы.
[ 335.02 -  339.02] Это бурет и это уже из деревья.
[ 339.02 -  341.02] А радиосовый Сот. Это метод.
[ 341.02 -  344.02] То есть, оты их вместе сомещаются.
[ 344.02 -  347.02] Поэтому здесь можно...
[ 347.02 -  348.02] Да, я...
[ 348.02 -  352.02] Да, здесь можно просто ограничиться.
[ 352.02 -  354.02] Словом, да, прожилательная гономика.
[ 354.02 -  356.02] Габожилательная гономика.
[ 356.02 -  362.18] И...
[ 362.18 -  364.18] То есть, в сторону, кробузия.
[ 364.18 -  365.18] Ну да.
[ 365.18 -  366.18] Если...
[ 366.18 -  368.18] Да. Давай, дальше.
[ 368.18 -  371.18] А вот этот женская взгляд, это куда пойдет.
[ 371.18 -  376.18] Мы к сожалению к Эллингре, никуда не попадаем.
[ 376.18 -  379.18] К сожалению.
[ 379.18 -  381.18] И это я только могу там...
[ 381.18 -  382.18] И потом, да.
[ 382.18 -  383.18] И мне как-то очень хочется...
[ 383.18 -  386.18] У меня тоже хочется, но я пока не понимаю.
[ 386.18 -  388.18] Да, да. Пока.
[ 388.18 -  391.18] Там, да. Там, здорово, волбас сделать вот эту вот выход.
[ 391.18 -  396.18] А... когда... вот этот вот выход был очень важен.
[ 396.18 -  403.18] И так, выставка 1925 года, где показан польшный.
[ 403.18 -  408.18] Классический ордеко в обногих...
[ 408.18 -  409.18] А...
[ 409.18 -  414.05] Не знаю, это, да, да.
[ 414.05 -  415.05] Успеди, появленно.
[ 415.05 -  417.05] В обногих появленно.
[ 417.05 -  420.05] И здесь же показан параллель.
[ 420.05 -  421.05] А...
[ 421.05 -  425.05] Тово же, как бы подхода, ордеко, но другая вид,
[ 425.05 -  427.05] это лекрбизия.
[ 427.05 -  429.52] Спит.
[ 429.52 -  430.52] Ну вот.
[ 430.52 -  431.52] Да.
[ 431.52 -  432.52] Понимаю.
[ 432.52 -  433.52] Да.
[ 433.52 -  434.52] Да.
[ 434.52 -  435.52] В большей степени.
[ 435.52 -  437.52] Я бы сюда не стало...
[ 439.52 -  440.52] Пасюда пока.
[ 440.52 -  441.52] Потом я там хочу.
[ 442.52 -  443.52] А это понимает, что...
[ 443.52 -  445.52] Мой темы, я хочу как-то отчеловечить.
[ 445.52 -  448.52] О, я понимаю, ну вот здесь вот здесь.
[ 448.52 -  451.52] Был бы интересно сказать о том, что мы поговорим о том,
[ 451.52 -  455.52] о том, что ордеко начинает делиться на...
[ 455.52 -  456.52] о...
[ 456.52 -  457.52] о...
[ 457.52 -  458.52] две вещи.
[ 458.52 -  460.52] ордеко, ордекошная...
[ 460.52 -  461.52] И...
[ 461.52 -  462.52] ордеко.
[ 462.52 -  463.52] Дорогой модернизим.
[ 463.52 -  466.52] Это рекорбизия, Ильм Грей.
[ 466.52 -  467.52] О...
[ 467.52 -  469.52] И много, в основе, деланы.
[ 469.52 -  470.52] И тогда, что...
[ 470.52 -  471.52] И мне не надо мне знать.
[ 471.52 -  475.52] То есть, здесь очень важно сделать вот такой вот...
[ 475.52 -  480.52] Кему, когда на этой выставке отражаются параллели,
[ 480.52 -  484.52] разного по нему они, что такое дэко,
[ 484.52 -  486.52] в современном пространстве.
[ 486.52 -  490.52] Дэко для ордекошных декошников.
[ 490.52 -  492.52] А...
[ 492.52 -  493.52] А...
[ 493.52 -  494.52] А...
[ 494.52 -  497.52] Всего возможных орнаментов,
[ 497.52 -  501.52] которые в ментре, богатых материалов и тогдащих.
[ 501.52 -  502.52] А...
[ 502.52 -  503.52] Дэко...
[ 503.52 -  504.52] В...
[ 504.52 -  505.52] Понимание.
[ 505.52 -  507.52] Дорогих модернизтов.
[ 507.52 -  510.52] И это все-таки более очищенный взгляд.
[ 510.52 -  512.52] Дорогие материалы остаются.
[ 512.52 -  514.52] Но их становится минимум.
[ 514.52 -  517.52] И там есть в большей степени селекции.
[ 517.52 -  519.52] Селекции выбора.
[ 519.52 -  520.52] Вот такое.
[ 520.52 -  521.52] И...
[ 521.52 -  522.52] Здесь...
[ 522.52 -  523.52] Я тебе...
[ 523.52 -  525.52] Я пришлю прям как называется.
[ 525.52 -  527.52] crackк...
[ 527.52 -  531.52] Когда они разделились...
[ 531.52 -  532.52] помешите сказать.
[ 532.52 -  533.40] Они просто разделились,
[ 533.40 -  534.52] то есть ни все стали...
[ 534.52 -  536.52] mac⋯ Rama,
[ 536.52 -  537.52] которые работали等ные выставки.
[ 537.52 -  538.52] Оставились вместе.
[ 538.52 -  541.52] Вот здесь произошло вот эту потрясающим вот Kazuto.
[ 541.52 -  542.52] Дараздел.
[ 542.52 -  545.96] По которой мы сейчас видим эту 개인 потерп causing
[ 545.96 -  546.52] а которой содержести декое.
[ 546.52 -  548.52] Кто-то...
[ 548.52 -  549.52] А...
[ 549.52 -  550.52] А Dept.
[ 550.52 -  552.52] Вот этого...
[ 552.52 -  554.52] that nobody на Гой��.
[ 554.52 -  560.72] Остался, но это, ну, варешная тема, не знаю, как сказать, ну, ты скажешь так,
[ 560.72 -  567.96] Ард и Кок, а стиль великого дэдспи. Вот это вот, да, классическая тема, а дыко.
[ 567.96 -  578.76] Гетский, гетский, гетский, гетский, а лекрбзия, в которой делает на самом деле,
[ 578.76 -  589.76] отдельные дома. Это тоже довольно богатые дома, это не один макратический путь, как у
[ 589.76 -  598.60] конструктивистов или как баллов. Я, конечно, делать вилу, а вилы, да, я бы не знаю, я знаю,
[ 598.60 -  604.04] это разницу, но там везде русскими, да, да, да, вот это вот, везде, это прекрасен,
[ 604.04 -  615.20] вот, вот, здесь, вот, дать, то вот глубину понимания, что Ард и Ко, на самом деле, на
[ 615.20 -  626.12] Гранен, и существует несколько визуальных позиций, и это будем рассматривать, раскрывать
[ 626.12 -  635.08] это сильно, не нужно, но понять, что есть суть, а да, мне, ну, да, можно пертим, как тебе, да,
[ 635.08 -  645.00] стаживаться, да, да, может быть, ты уже уловила, скорее всего, ловила, что мы этим, например,
[ 645.00 -  661.13] следующая, можно ли зайти в эту историю, можно ли в этом монстре видеть человека,
[ 661.13 -  670.41] это очень сложная ардеконна, может быть, очень эклектичное время, очень сложное, очень сложное,
[ 670.41 -  677.17] это не такая манальдная история, как какие-то какие-то предыдущие вещи, сейчас подожди, подожди,
[ 677.17 -  685.65] я, в городскажу, есть очень много, много чего не человеческого, ярическая, индустриальна, это
[ 685.65 -  693.73] Гаря, и мне интересно, но и Ардекон, который дизем Лея, креальности, но так же женского,
[ 693.73 -  702.89] если увода. Слушай, но, большому счёту, Ардекон по большому счёту, человечен, с очень разным
[ 702.89 -  710.37] пониманием того, потому что даже пышная ордекон в стиле великого гость, видавать так, это будет называть,
[ 710.37 -  717.33] ну что было понятно, да, я без волка, этого всего, это всё равно, радично, это тема эскопизма,
[ 717.33 -  726.01] это тема ухода от реальности, это тема, когда люди нашли, а путь для того, чтобы чувствовать себя,
[ 726.01 -  736.25] оптимистами или показывать, что они оптимисты между будто истилетиями, одним, дистилетиями,
[ 736.25 -  745.09] ну, мя, дистилетиями, войны, да, то есть тогда, когда вот это было, а и гуляр вонина, вот это вот
[ 745.09 -  753.25] всего, движух, все, все, все, все, все, самое лучше, все, все, все будет собирать, выдержать дыкошника,
[ 753.25 -  762.09] есть люди, которые говорят о том, что нет, не всего, обудем делать определенную селекцию и вычищать эти формы, потому что это
[ 762.09 -  770.45] именно тот самый модернизм, о котором мы говорим, это вот про лекар визья, вот это и то и другое,
[ 770.45 -  779.17] начало вечное, просто первая тема, эскопическое тема, праздника от тебя, я знаю, я знаю, понимаю, мне интересует другая страна,
[ 779.17 -  794.58] а уже не мой, ко вторая тема, а вторая тема связанная, как раз в больше сепени с наблюдением, за
[ 794.58 -  800.26] человеком помешите рассказывал пример, когда Елен Гринканка сочинила свой с архизмами не
[ 800.26 -  808.38] это историк, иконно дизайн, когда она наблюдала застройка, которая ела кроссами, стольки, которые
[ 808.38 -  818.98] подавались на кровать, они были давно, ну вот, помнишь, джився в устер, помнишь, раз вот этот вот,
[ 818.98 -  826.30] как вы столик, это выстер лежит на кровать, он ему вот так вот ставит столь, на кровать,
[ 826.30 -  834.42] там яйца есть все такое помнишь, я не помню, я целый не помню, и, ну я понимаю, это было давно,
[ 834.42 -  842.38] то есть когда вот как бы в кровать, подай зафтрак вот это все, и Елен Грин, наблюдая за тем, что ее
[ 842.38 -  850.94] сестра, любящие, красавные, их и все крошки вообще вокруг, сочинили этот столь, который с бордюром,
